English,Cree,Ojibwe,Montagnais
hello,tanisi,nibi,
water,nipiy,,
woman,iskwew,ikwe,ishkueu
flower,Wâpakwanîs,wabigon,
window,Wâsênikan,,
apple,Picikwâs,,
orange,Osâwâs,,
horse,Mistatim,,kapelikushkueu
number,Akihtâson,,
drink,Minihkwewin,,
leave,Nakata,maajaa,Pûshit
green,Askihtak,,uasheshkunau
yellow,Osâwêkin,ozaawi,Uishauau
tribe,ka peyakoskânowihk,,
ocean,Kihcikamiy,,
mountain,waciy,,
grass,Maskosiy,,
river,Sîpîy,,
people,Ayisiyinowak,,
welcome,,Boozhoo,
scissors,,Moozhawgan,
seven,,Nizhawsi,nishuasht
eagle,,Migizi,
otter,,Nigig,
water,,Aki,
earth,,Wabigon,
black,,makade,Kashteuau
plant,,kitigen,
tobacco,,animosh,
thankyou,,migwech,
three,,niswi,nishtu
squirrel,,ajitamo,nukutshash
rabbit,,waboos,uâpush
finger,,oninj,nininitshititshan
white,,waabishki,uapau
snake,,,atshimipuk
moose,,,mush
turtles,,,misinak
shoulder,,,nishpishkun
cheek,,,ninuai
mouse,,,apikushish
caribou,,,atiku
porcupine,,,kâku
